player,opponent,court,outcome,minutes,fgm,fga,tpm,tpa,ftm,fta,rebounds,assists,blocks,steals,fouls,turnOvers,points
Brandon Huffman,BUCKNELL,home,won,4,2,2,0,0,0,0,2,0,1,0,1,0,4
Brandon Huffman,STANFORD,away,won,9,2,2,0,0,4,4,5,0,0,0,4,0,8
Brandon Huffman,PORTLAND,home,won,9,2,4,0,0,1,2,3,0,1,0,1,2,5
Brandon Huffman,ARKANSAS,home,won,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,#4 MICHIGAN STATE,home,lost,4,0,3,0,0,0,0,2,0,0,0,1,0,0
Brandon Huffman,MICHIGAN,home,won,1,1,3,0,0,0,0,1,0,1,0,0,0,2
Brandon Huffman,DAVIDSON,away,won,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Brandon Huffman,TULANE,home,won,12,4,4,0,0,1,4,6,0,2,0,1,0,9
Brandon Huffman,W CAROLINA,home,won,13,2,3,0,0,0,0,8,0,2,0,2,2,4
Brandon Huffman,#20 TENNESSEE,away,won,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Brandon Huffman,WOFFORD,home,lost,2,0,0,0,0,1,2,1,0,0,0,0,0,1
Brandon Huffman,OHIO STATE,home,won,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,WAKE FOREST,home,won,5,0,2,0,0,0,0,2,0,0,0,1,2,0
Brandon Huffman,#24 FLORIDA STATE,away,lost,2,0,1,0,0,0,0,1,0,0,0,1,0,0
Brandon Huffman,#8 UVA,away,lost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,BOSTON COLLEGE,home,won,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,#20 CLEMSON,home,won,2,0,0,0,0,0,0,2,0,0,0,1,1,0
Brandon Huffman,GEORGIA TECH,home,won,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,VIRGINIA TECH,away,lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,#20 CLEMSON,away,lost,2,0,1,0,0,0,0,1,0,0,0,1,1,0
Brandon Huffman,PITT,home,won,5,1,2,0,0,1,2,2,0,1,0,0,1,3
Brandon Huffman,NOTRE DAME,home,won,1,1,1,0,0,1,2,1,0,0,0,0,0,3
Brandon Huffman,#5 DUKE,away,lost,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Brandon Huffman,SYRACUSE,home,won,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Huffman,#24 MIAMI,home,won,1,1,1,0,0,0,0,1,1,0,0,0,0,2
Brandon Huffman,#5 DUKE,home,won,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Brandon Huffman,(15) LIPSCOMB,home,won,1,0,1,0,0,0,0,1,0,0,0,0,0,0
